1.185663,11.635608,44.606167
1.726750,13.273075,57.193414
1.191152,11.652219,44.733860
1.480883,12.529021,51.473853
2.042305,14.228025,64.534134
3.067679,17.331067,88.387278
1.156260,11.546627,43.922172
3.025484,17.203374,87.405703
3.080614,17.370213,88.688195
1.809326,13.522971,59.114368
2.069894,14.311517,65.175934
2.053331,14.261392,64.790627
1.706464,13.211685,56.721501
1.277355,11.913093,46.739204
2.066266,14.300539,65.091544
1.024186,11.146939,40.849756
1.693672,13.172973,56.423921
0.859082,10.647291,37.008954
1.242368,11.807211,45.925287
1.757919,13.367401,57.918496
1.288286,11.946172,46.993481
2.042257,14.227879,64.533012
3.416359,18.386264,96.498598
1.645988,13.028669,55.314654
1.501026,12.589978,51.942428
1.844314,13.628853,59.928286
2.236716,14.816363,69.056700
2.680622,16.159734,79.383218
2.313803,15.049648,70.849962
1.928560,13.883804,61.888097
3.007202,17.148051,86.980431
1.629425,12.978544,54.929347
1.115879,11.424424,42.982793
3.234644,17.836348,92.271382
2.856704,16.692604,83.479404
3.320848,18.097222,94.276726
1.824028,13.567462,59.456373
1.646131,13.029103,55.317992
3.042094,17.253643,87.792118
1.908465,13.822992,61.420630
