c,b,a
-81.063727,0.522892,0.000000
38.829296,-0.654771,0.002890
-81.367331,0.524329,0.000000
51.327087,-0.778125,0.003194
-81.063727,0.522892,0.000000
-0.002685,-0.273462,0.001954
-81.367331,0.524329,0.000000
-0.002688,-0.273914,0.001957
